Date,Time,Open,High,Low,Close,Volume
2025-07-02,09:15:00,6139.5,6140.0,6095.5,6120.0,0
2025-07-02,09:16:00,6117.0,6128.0,6113.5,6126.0,3831
2025-07-02,09:17:00,6125.0,6132.0,6121.0,6128.5,3527
2025-07-02,09:18:00,6128.0,6132.0,6128.0,6128.5,2983
2025-07-02,09:19:00,6125.5,6130.0,6120.0,6120.0,2394
2025-07-02,09:20:00,6120.0,6125.0,6120.0,6123.0,2488
2025-07-02,09:21:00,6123.0,6126.5,6117.0,6117.0,1529
2025-07-02,09:22:00,6117.0,6117.5,6111.0,6117.5,3947
2025-07-02,09:23:00,6117.0,6123.0,6116.5,6123.0,2728
2025-07-02,09:24:00,6125.0,6125.0,6119.5,6120.0,742
2025-07-02,09:25:00,6121.5,6121.5,6114.5,6114.5,6451
2025-07-02,09:26:00,6116.0,6123.0,6114.0,6122.5,4913
2025-07-02,09:27:00,6123.0,6127.5,6122.0,6122.0,1931
2025-07-02,09:28:00,6122.0,6131.5,6122.0,6128.5,4243
2025-07-02,09:29:00,6127.5,6128.0,6125.0,6125.0,2221
2025-07-02,09:30:00,6125.0,6131.0,6125.0,6129.0,5168
2025-07-02,09:31:00,6128.5,6131.0,6125.5,6125.5,2538
2025-07-02,09:32:00,6124.5,6124.5,6117.5,6121.0,1461
2025-07-02,09:33:00,6122.5,6122.5,6112.5,6112.5,1659
2025-07-02,09:34:00,6110.0,6114.5,6108.5,6112.5,3534
2025-07-02,09:35:00,6112.5,6124.0,6112.5,6124.0,1916
2025-07-02,09:36:00,6124.0,6130.0,6123.5,6130.0,2233
2025-07-02,09:37:00,6128.5,6128.5,6117.5,6118.0,1470
2025-07-02,09:38:00,6115.5,6118.0,6115.5,6117.0,956
2025-07-02,09:39:00,6117.5,6118.0,6115.0,6115.0,499
2025-07-02,09:40:00,6115.5,6116.0,6110.0,6110.0,1922
2025-07-02,09:41:00,6110.5,6111.5,6105.0,6107.0,2234
2025-07-02,09:42:00,6105.0,6113.0,6105.0,6108.0,2110
2025-07-02,09:43:00,6106.0,6108.0,6102.5,6102.5,2399
2025-07-02,09:44:00,6103.5,6104.0,6101.5,6104.0,2614
2025-07-02,09:45:00,6104.0,6105.0,6104.0,6105.0,2951
2025-07-02,09:46:00,6105.5,6113.0,6105.5,6108.5,1428
2025-07-02,09:47:00,6111.5,6111.5,6103.5,6103.5,1405
2025-07-02,09:48:00,6103.5,6103.5,6096.5,6096.5,5483
2025-07-02,09:49:00,6098.0,6102.0,6097.5,6102.0,4386
2025-07-02,09:50:00,6102.5,6110.0,6102.5,6106.0,1550
2025-07-02,09:51:00,6106.5,6109.0,6104.0,6104.0,1409
2025-07-02,09:52:00,6105.0,6106.5,6100.5,6100.5,570
2025-07-02,09:53:00,6102.0,6102.5,6100.0,6100.0,1705
2025-07-02,09:54:00,6100.5,6102.0,6096.0,6096.0,1192
2025-07-02,09:55:00,6096.5,6101.5,6096.5,6099.5,2087
2025-07-02,09:56:00,6099.5,6101.5,6096.0,6096.0,577
2025-07-02,09:57:00,6098.5,6098.5,6089.5,6089.5,3743
2025-07-02,09:58:00,6089.0,6095.5,6086.5,6091.0,3046
2025-07-02,09:59:00,6090.0,6090.0,6087.0,6088.0,2818
2025-07-02,10:00:00,6087.5,6087.5,6085.5,6085.5,2247
2025-07-02,10:01:00,6086.0,6087.5,6080.5,6080.5,3555
2025-07-02,10:02:00,6081.0,6091.5,6081.0,6091.5,3296
2025-07-02,10:03:00,6091.5,6091.5,6089.5,6091.0,1408
2025-07-02,10:04:00,6091.0,6095.5,6090.0,6095.5,6734
2025-07-02,10:05:00,6092.5,6092.5,6085.5,6085.5,649
2025-07-02,10:06:00,6085.0,6088.0,6084.0,6084.0,1383
2025-07-02,10:07:00,6083.5,6087.5,6080.5,6087.5,1273
2025-07-02,10:08:00,6087.0,6089.5,6085.0,6085.5,1452
2025-07-02,10:09:00,6085.5,6086.0,6084.0,6084.5,816
2025-07-02,10:10:00,6084.5,6086.5,6082.0,6083.0,908
2025-07-02,10:11:00,6083.0,6083.5,6082.0,6082.5,1003
2025-07-02,10:12:00,6082.5,6084.5,6082.0,6084.5,1557
2025-07-02,10:13:00,6082.5,6082.5,6080.0,6080.5,1624
2025-07-02,10:14:00,6080.5,6081.5,6077.0,6077.0,3595
2025-07-02,10:15:00,6077.0,6077.5,6068.0,6068.0,4411
2025-07-02,10:16:00,6066.0,6070.0,6063.0,6069.5,3621
2025-07-02,10:17:00,6069.5,6069.5,6066.5,6066.5,908
2025-07-02,10:18:00,6066.5,6072.5,6065.0,6072.5,2767
2025-07-02,10:19:00,6069.5,6073.0,6066.5,6069.5,1621
2025-07-02,10:20:00,6069.5,6072.0,6069.5,6071.5,798
2025-07-02,10:21:00,6072.0,6072.0,6067.0,6067.0,1314
2025-07-02,10:22:00,6067.0,6067.5,6065.0,6067.5,1468
2025-07-02,10:23:00,6066.0,6069.5,6066.0,6068.5,822
2025-07-02,10:24:00,6068.5,6068.5,6065.0,6065.5,1038
2025-07-02,10:25:00,6066.0,6066.5,6065.0,6065.0,629
2025-07-02,10:26:00,6066.0,6077.5,6063.5,6076.5,5394
2025-07-02,10:27:00,6077.5,6088.5,6077.0,6087.5,2294
2025-07-02,10:28:00,6087.5,6092.0,6085.5,6086.0,1958
2025-07-02,10:29:00,6086.0,6088.0,6084.0,6086.0,1689
2025-07-02,10:30:00,6086.0,6086.5,6077.5,6086.5,2225
2025-07-02,10:31:00,6086.5,6092.0,6086.5,6091.0,1668
2025-07-02,10:32:00,6091.0,6094.5,6091.0,6092.5,1539
2025-07-02,10:33:00,6093.5,6093.5,6089.0,6090.5,1386
2025-07-02,10:34:00,6089.0,6092.0,6089.0,6091.5,2062
2025-07-02,10:35:00,6091.5,6091.5,6085.5,6086.0,792
2025-07-02,10:36:00,6086.5,6088.0,6086.5,6086.5,1097
2025-07-02,10:37:00,6087.5,6087.5,6084.5,6086.0,998
2025-07-02,10:38:00,6085.0,6085.0,6077.0,6077.0,1065
2025-07-02,10:39:00,6078.0,6080.0,6077.0,6078.0,2154
2025-07-02,10:40:00,6077.5,6077.5,6073.5,6075.5,1361
2025-07-02,10:41:00,6076.0,6081.0,6075.5,6080.5,1554
2025-07-02,10:42:00,6081.0,6085.0,6080.5,6082.0,1148
2025-07-02,10:43:00,6082.0,6082.0,6080.5,6080.5,477
2025-07-02,10:44:00,6081.5,6081.5,6077.0,6077.0,984
2025-07-02,10:45:00,6076.5,6079.5,6073.5,6073.5,1447
2025-07-02,10:46:00,6076.0,6076.0,6072.5,6072.5,1069
2025-07-02,10:47:00,6072.0,6080.0,6072.0,6079.5,1623
2025-07-02,10:48:00,6079.5,6086.5,6079.0,6083.5,2175
2025-07-02,10:49:00,6081.5,6081.5,6077.0,6077.5,963
2025-07-02,10:50:00,6077.5,6080.5,6075.0,6080.5,751
2025-07-02,10:51:00,6080.5,6081.0,6080.0,6081.0,660
2025-07-02,10:52:00,6081.0,6081.0,6080.0,6080.5,546
2025-07-02,10:53:00,6080.0,6082.0,6080.0,6082.0,621
2025-07-02,10:54:00,6082.0,6083.0,6081.5,6082.5,646
2025-07-02,10:55:00,6082.5,6084.0,6081.5,6083.5,625
