Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Time,Open,High,Low,Close,Volume
0,0,0,0,2025-07-07,09:15:00,25451.94921875,25460.94921875,25416.80078125,25424.650390625,0
1,1,1,1,2025-07-07,09:16:00,25424.94921875,25427.900390625,25408.19921875,25427.80078125,0
2,2,2,2,2025-07-07,09:17:00,25425.94921875,25437.599609375,25425.150390625,25435.0,0
3,3,3,3,2025-07-07,09:18:00,25434.75,25434.75,25417.80078125,25423.75,0
4,4,4,4,2025-07-07,09:19:00,25424.150390625,25447.349609375,25421.44921875,25447.349609375,0
5,5,5,5,2025-07-07,09:20:00,25445.19921875,25458.30078125,25443.19921875,25452.599609375,0
6,6,6,6,2025-07-07,09:21:00,25453.599609375,25478.099609375,25446.25,25473.80078125,0
7,7,7,7,2025-07-07,09:22:00,25469.150390625,25469.150390625,25458.599609375,25462.650390625,0
8,8,8,8,2025-07-07,09:23:00,25463.099609375,25463.099609375,25444.349609375,25449.650390625,0
9,9,9,9,2025-07-07,09:24:00,25448.599609375,25454.099609375,25447.400390625,25449.94921875,0
10,10,10,10,2025-07-07,09:25:00,25450.69921875,25452.650390625,25437.25,25438.349609375,0
11,11,11,11,2025-07-07,09:26:00,25438.900390625,25449.05078125,25433.69921875,25447.900390625,0
12,12,12,12,2025-07-07,09:27:00,25447.5,25452.75,25438.80078125,25439.349609375,0
13,13,13,13,2025-07-07,09:28:00,25439.650390625,25447.05078125,25436.349609375,25443.25,0
14,14,14,14,2025-07-07,09:29:00,25443.05078125,25443.94921875,25436.349609375,25439.900390625,0
15,15,15,15,2025-07-07,09:30:00,25441.400390625,25453.5,25439.80078125,25449.44921875,0
16,16,16,16,2025-07-07,09:31:00,25449.05078125,25454.900390625,25443.05078125,25453.94921875,0
17,17,17,17,2025-07-07,09:32:00,25453.80078125,25465.05078125,25453.650390625,25461.69921875,0
18,18,18,18,2025-07-07,09:33:00,25461.55078125,25470.94921875,25461.05078125,25469.75,0
19,19,19,19,2025-07-07,09:34:00,25470.19921875,25480.5,25467.099609375,25478.0,0
20,20,20,20,2025-07-07,09:35:00,25478.0,25483.099609375,25476.349609375,25480.55078125,0
21,21,21,21,2025-07-07,09:36:00,25479.0,25481.05078125,25470.44921875,25477.349609375,0
22,22,22,22,2025-07-07,09:37:00,25477.69921875,25489.650390625,25477.69921875,25487.30078125,0
23,23,23,23,2025-07-07,09:38:00,25487.44921875,25487.900390625,25476.900390625,25479.75,0
24,24,24,24,2025-07-07,09:39:00,25478.19921875,25483.05078125,25477.19921875,25479.650390625,0
25,25,25,25,2025-07-07,09:40:00,25479.44921875,25480.849609375,25465.69921875,25466.75,0
26,26,26,26,2025-07-07,09:41:00,25467.099609375,25469.19921875,25460.599609375,25465.150390625,0
27,27,27,27,2025-07-07,09:42:00,25464.30078125,25468.5,25464.30078125,25464.849609375,0
28,28,28,28,2025-07-07,09:43:00,25462.099609375,25462.25,25448.69921875,25451.849609375,0
29,29,29,29,2025-07-07,09:44:00,25452.0,25452.5,25446.69921875,25451.900390625,0
30,30,30,30,2025-07-07,09:45:00,25451.80078125,25452.94921875,25445.69921875,25449.849609375,0
31,31,31,31,2025-07-07,09:46:00,25449.900390625,25451.150390625,25444.849609375,25448.349609375,0
32,32,32,32,2025-07-07,09:47:00,25448.599609375,25449.849609375,25443.650390625,25443.849609375,0
33,33,33,33,2025-07-07,09:48:00,25443.849609375,25447.75,25440.94921875,25446.69921875,0
34,34,34,34,2025-07-07,09:49:00,25446.69921875,25450.30078125,25445.05078125,25446.650390625,0
35,35,35,35,2025-07-07,09:50:00,25446.80078125,25446.80078125,25440.80078125,25443.05078125,0
36,36,36,36,2025-07-07,09:51:00,25443.150390625,25444.400390625,25438.900390625,25440.94921875,0
37,37,37,37,2025-07-07,09:52:00,25441.30078125,25443.400390625,25439.80078125,25441.75,0
38,38,38,38,2025-07-07,09:53:00,25441.5,25457.5,25441.5,25457.0,0
39,39,39,39,2025-07-07,09:54:00,25456.94921875,25466.599609375,25456.44921875,25465.650390625,0
40,40,40,40,2025-07-07,09:55:00,25465.94921875,25473.30078125,25465.150390625,25470.19921875,0
41,41,41,41,2025-07-07,09:56:00,25470.80078125,25471.5,25469.099609375,25470.05078125,0
42,42,42,42,2025-07-07,09:57:00,25469.599609375,25473.150390625,25468.900390625,25471.75,0
43,43,43,43,2025-07-07,09:58:00,25470.05078125,25470.349609375,25461.44921875,25461.44921875,0
44,44,44,44,2025-07-07,09:59:00,25460.80078125,25463.650390625,25459.0,25462.099609375,0
45,45,45,45,2025-07-07,10:00:00,25461.5,25469.30078125,25461.400390625,25467.80078125,0
46,46,46,46,2025-07-07,10:01:00,25467.400390625,25467.94921875,25458.599609375,25460.19921875,0
47,47,47,47,2025-07-07,10:02:00,25461.30078125,25463.69921875,25459.55078125,25462.19921875,0
48,48,48,48,2025-07-07,10:03:00,25461.75,25467.5,25460.349609375,25464.30078125,0
49,49,49,49,2025-07-07,10:04:00,25464.19921875,25467.05078125,25457.19921875,25457.349609375,0
50,50,50,50,2025-07-07,10:05:00,25457.650390625,25457.75,25446.80078125,25446.80078125,0
51,51,51,51,2025-07-07,10:06:00,25446.44921875,25448.150390625,25431.25,25431.25,0
52,52,52,52,2025-07-07,10:07:00,25431.05078125,25439.30078125,25430.599609375,25434.349609375,0
53,53,53,53,2025-07-07,10:08:00,25436.099609375,25437.80078125,25422.55078125,25425.599609375,0
54,54,54,54,2025-07-07,10:09:00,25426.900390625,25426.900390625,25417.05078125,25422.0,0
55,55,55,55,2025-07-07,10:10:00,25421.94921875,25429.099609375,25417.25,25426.900390625,0
56,56,56,56,2025-07-07,10:11:00,25426.650390625,25428.25,25421.599609375,25428.25,0
57,57,57,57,2025-07-07,10:12:00,25426.849609375,25428.599609375,25422.80078125,25428.099609375,0
58,58,58,58,2025-07-07,10:13:00,25427.5,25438.849609375,25425.80078125,25438.150390625,0
59,59,59,59,2025-07-07,10:14:00,25437.849609375,25439.55078125,25435.400390625,25436.099609375,0
60,60,60,60,2025-07-07,10:15:00,25436.099609375,25439.30078125,25434.05078125,25438.900390625,0
61,61,61,61,2025-07-07,10:16:00,25439.5,25446.25,25438.80078125,25445.099609375,0
62,62,62,62,2025-07-07,10:17:00,25444.349609375,25445.05078125,25434.849609375,25435.650390625,0
